"url","image","image_alt","image_link","position","track_name","artist_name","streams"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/22339dd3c3d93e0f8d0598dc342542eaf9fce1e5","","https://open.spotify.com/track/0D21XvHcVsIvJM6FcGY2BT","40","OOOUUU","by Young M.a.","370,313"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/0273528fb5036f6573d4765f74f08e5c5ac1fe92","","https://open.spotify.com/track/20dP2DaMHIAmwWAbp7peSr","41","pick up the phone","by Young Thug","368,125"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/8bb1e74b5fec122c333136f5584e753e91e3db62","","https://open.spotify.com/track/4qqArAiTPueDxIp7cf87h7","42","Final Song","by MØ","363,694"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/55147edeade43780703cdcea8920723f7cdcf692","","https://open.spotify.com/track/7EiZI6JVHllARrX9PUvAdX","43","Low Life","by Future","363,289"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/87fcb203d8585749b78f4047a3c1176ed642b900","","https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv","44","The Ocean","by Mike Perry","358,987"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/5c7b5f658fcbaa10dba1cb671a36dde6134bf9d6","","https://open.spotify.com/track/5LWVXN39UpNyhkYnBvDfyq","45","Cool Girl","by Tove Lo","352,137"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/53d306c042b3737d197158956f74b6e58c7dafee","","https://open.spotify.com/track/7nD9nN3jord9wWcfW3Gkcm","46","All In My Head (Flex)","by Fifth Harmony","349,680"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/f6439c403d51fe582b192f5087270fc9fa62c42f","","https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h","47","Panda","by Desiigner","349,551"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/260c2e74e67a15cf61ac72f8264cc6caec5f7a66","","https://open.spotify.com/track/4YJmZfvlheSziXem8HBWrj","48","Still Here","by Drake","348,571"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/3efc576b0d1112f9522665f57a4dbc2be5f100d8","","https://open.spotify.com/track/1CUVN2kn7mW5FjkqXTR2W1","49","Perfect Strangers","by Jonas Blue","346,831"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/8193d31e2f4341383a4a219f75ac9c46a5bc2d2e","","https://open.spotify.com/track/3cNjgVBKTJ1SvKhunrCdVy","50","Please Don't Go","by Joel Adams","334,474"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/50c03cd3e89bde34bb8bc8268e751c767de31c26","","https://open.spotify.com/track/0B8QzDH7YWih85V5SEMnyJ","51","Money Longer","by Lil Uzi Vert","322,832"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/e4ae47ac21e7d48f9457a7ac784e2143bf60dffd","","https://open.spotify.com/track/4SgRoETpc8GEkVgBh5OrZs","52","Black Beatles","by Rae Sremmurd","322,255"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/33ce61d359e0bd168ccdf0e0521c63c9ef631ba2","","https://open.spotify.com/track/4nMlau89VAjmV7agkl7OY3","53","Fresh Eyes","by Andy Grammer","308,216"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/2c5b29b7f40b2ae1b77cae7b4e22fa6a3b0ae917","","https://open.spotify.com/track/4nA0biSjtvOL41Hd9MBXqR","54","Ain't My Fault","by Zara Larsson","308,098"
"https://spotifycharts.com/regional/us/daily/2016-09-26","https://i.scdn.co/image/260c2e74e67a15cf61ac72f8264cc6caec5f7a66","","https://open.spotify.com/track/334S9SWZMjyRDN0wrHw7wk","55","Pop Style","by Drake","290,131"
