,external_urls,href,id,name,type,uri,track_url
spotify,https://open.spotify.com/artist/6JL8zeS1NmiOftqZTRgdTz,https://api.spotify.com/v1/artists/6JL8zeS1NmiOftqZTRgdTz,6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,artist,spotify:artist:6JL8zeS1NmiOftqZTRgdTz,https://open.spotify.com/track/6ukMqDxnOPOgoHdak7Kyp3
spotify,https://open.spotify.com/artist/7juKTDFlPesGeWQ1GmjmOv,https://api.spotify.com/v1/artists/7juKTDFlPesGeWQ1GmjmOv,7juKTDFlPesGeWQ1GmjmOv,Silentó,artist,spotify:artist:7juKTDFlPesGeWQ1GmjmOv,https://open.spotify.com/track/5RIVoVdkDLEygELLCniZFr
spotify,https://open.spotify.com/artist/23fqKkggKUBHNkbKtXEls4,https://api.spotify.com/v1/artists/23fqKkggKUBHNkbKtXEls4,23fqKkggKUBHNkbKtXEls4,Kygo,artist,spotify:artist:23fqKkggKUBHNkbKtXEls4,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
spotify,https://open.spotify.com/artist/48sLioddyaXkuhyHXSkpsB,https://api.spotify.com/v1/artists/48sLioddyaXkuhyHXSkpsB,48sLioddyaXkuhyHXSkpsB,Parson James,artist,spotify:artist:48sLioddyaXkuhyHXSkpsB,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
spotify,https://open.spotify.com/artist/7f5Zgnp2spUuuzKplmRkt7,https://api.spotify.com/v1/artists/7f5Zgnp2spUuuzKplmRkt7,7f5Zgnp2spUuuzKplmRkt7,Lost Frequencies,artist,spotify:artist:7f5Zgnp2spUuuzKplmRkt7,https://open.spotify.com/track/477daPpd3DnneaHhvjM35l
spotify,https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V,https://api.spotify.com/v1/artists/6eUKZXaKkcviH0Ku9w2n3V,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,artist,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
spotify,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,artist,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,https://open.spotify.com/track/4frLb7nWtsz2ymBE6k2GRP
spotify,https://open.spotify.com/artist/1Cs0zKBU1kc0i8ypK3B9ai,https://api.spotify.com/v1/artists/1Cs0zKBU1kc0i8ypK3B9ai,1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,artist,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
spotify,https://open.spotify.com/artist/64M6ah0SkkRsnPGtGiRAbb,https://api.spotify.com/v1/artists/64M6ah0SkkRsnPGtGiRAbb,64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,artist,spotify:artist:64M6ah0SkkRsnPGtGiRAbb,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
spotify,https://open.spotify.com/artist/4D75GcNG95ebPtNvoNVXhz,https://api.spotify.com/v1/artists/4D75GcNG95ebPtNvoNVXhz,4D75GcNG95ebPtNvoNVXhz,Afrojack,artist,spotify:artist:4D75GcNG95ebPtNvoNVXhz,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
spotify,https://open.spotify.com/artist/0hCNtLu0JehylgoiP8L4Gh,https://api.spotify.com/v1/artists/0hCNtLu0JehylgoiP8L4Gh,0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,artist,spotify:artist:0hCNtLu0JehylgoiP8L4Gh,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
spotify,https://open.spotify.com/artist/6nS5roXSAGhTGr34W6n7Et,https://api.spotify.com/v1/artists/6nS5roXSAGhTGr34W6n7Et,6nS5roXSAGhTGr34W6n7Et,Disclosure,artist,spotify:artist:6nS5roXSAGhTGr34W6n7Et,https://open.spotify.com/track/3jEPu6FD1icy9cLllhB2XK
spotify,https://open.spotify.com/artist/2wY79sveU1sp5g7SokKOiI,https://api.spotify.com/v1/artists/2wY79sveU1sp5g7SokKOiI,2wY79sveU1sp5g7SokKOiI,Sam Smith,artist,spotify:artist:2wY79sveU1sp5g7SokKOiI,https://open.spotify.com/track/3jEPu6FD1icy9cLllhB2XK
spotify,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,artist,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,https://open.spotify.com/track/1VoJttdilLYpbpYN142Zek
spotify,https://open.spotify.com/artist/04gDigrS5kc9YWfZHwBETP,https://api.spotify.com/v1/artists/04gDigrS5kc9YWfZHwBETP,04gDigrS5kc9YWfZHwBETP,Maroon 5,artist,spotify:artist:04gDigrS5kc9YWfZHwBETP,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I
spotify,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,artist,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,https://open.spotify.com/track/5SqSckut3FcoQKmGkMWgp1
spotify,https://open.spotify.com/artist/3QLIkT4rD2FMusaqmkepbq,https://api.spotify.com/v1/artists/3QLIkT4rD2FMusaqmkepbq,3QLIkT4rD2FMusaqmkepbq,Rachel Platten,artist,spotify:artist:3QLIkT4rD2FMusaqmkepbq,https://open.spotify.com/track/6bRbeEgg8v8BQ0HuVuPE7v
spotify,https://open.spotify.com/artist/3hv9jJF3adDNsBSIQDqcjp,https://api.spotify.com/v1/artists/3hv9jJF3adDNsBSIQDqcjp,3hv9jJF3adDNsBSIQDqcjp,Mark Ronson,artist,spotify:artist:3hv9jJF3adDNsBSIQDqcjp,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
spotify,https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C,https://api.spotify.com/v1/artists/0du5cEVh5yTK9QJze8zA0C,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,artist,spotify:artist:0du5cEVh5yTK9QJze8zA0C,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
spotify,https://open.spotify.com/artist/7f5Zgnp2spUuuzKplmRkt7,https://api.spotify.com/v1/artists/7f5Zgnp2spUuuzKplmRkt7,7f5Zgnp2spUuuzKplmRkt7,Lost Frequencies,artist,spotify:artist:7f5Zgnp2spUuuzKplmRkt7,https://open.spotify.com/track/5kZRoc6Gz7u5eu4a0YM2LS
spotify,https://open.spotify.com/artist/5gtYjyZlmPOc1lLHvYzCON,https://api.spotify.com/v1/artists/5gtYjyZlmPOc1lLHvYzCON,5gtYjyZlmPOc1lLHvYzCON,Janieck Devy,artist,spotify:artist:5gtYjyZlmPOc1lLHvYzCON,https://open.spotify.com/track/5kZRoc6Gz7u5eu4a0YM2LS
spotify,https://open.spotify.com/artist/3e7awlrlDSwF3iM0WBjGMp,https://api.spotify.com/v1/artists/3e7awlrlDSwF3iM0WBjGMp,3e7awlrlDSwF3iM0WBjGMp,Little Mix,artist,spotify:artist:3e7awlrlDSwF3iM0WBjGMp,https://open.spotify.com/track/33NHr7lu7tCMjK05jUj1v0
spotify,https://open.spotify.com/artist/23fqKkggKUBHNkbKtXEls4,https://api.spotify.com/v1/artists/23fqKkggKUBHNkbKtXEls4,23fqKkggKUBHNkbKtXEls4,Kygo,artist,spotify:artist:23fqKkggKUBHNkbKtXEls4,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ
spotify,https://open.spotify.com/artist/1rw8ZTLnDHd74TWDDukjVi,https://api.spotify.com/v1/artists/1rw8ZTLnDHd74TWDDukjVi,1rw8ZTLnDHd74TWDDukjVi,Conrad Sewell,artist,spotify:artist:1rw8ZTLnDHd74TWDDukjVi,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ
spotify,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,artist,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,https://open.spotify.com/track/0Gi17qCJh9e9RJxLaYkm9l
spotify,https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V,https://api.spotify.com/v1/artists/6eUKZXaKkcviH0Ku9w2n3V,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,artist,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,https://open.spotify.com/track/0Gi17qCJh9e9RJxLaYkm9l
spotify,https://open.spotify.com/artist/2VAnyOxzJuSAj7XIuEOT38,https://api.spotify.com/v1/artists/2VAnyOxzJuSAj7XIuEOT38,2VAnyOxzJuSAj7XIuEOT38,AlunaGeorge,artist,spotify:artist:2VAnyOxzJuSAj7XIuEOT38,https://open.spotify.com/track/4HfykP9fjZZJC3WBwFArb4
spotify,https://open.spotify.com/artist/0X2BH1fck6amBIoJhDVmmJ,https://api.spotify.com/v1/artists/0X2BH1fck6amBIoJhDVmmJ,0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,artist,spotify:artist:0X2BH1fck6amBIoJhDVmmJ,https://open.spotify.com/track/7y2YUIyCuVhBidENVT0068
spotify,https://open.spotify.com/artist/7n2wHs1TKAczGzO7Dd2rGr,https://api.spotify.com/v1/artists/7n2wHs1TKAczGzO7Dd2rGr,7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,artist,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr,https://open.spotify.com/track/3zkWCteF82vJwv0hRLba76
spotify,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,artist,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,https://open.spotify.com/track/28YLWwEB6xnJQYN7e062rH
spotify,https://open.spotify.com/artist/1vCWHaC5f2uS3yhpwWbIA6,https://api.spotify.com/v1/artists/1vCWHaC5f2uS3yhpwWbIA6,1vCWHaC5f2uS3yhpwWbIA6,Avicii,artist,spotify:artist:1vCWHaC5f2uS3yhpwWbIA6,https://open.spotify.com/track/2u5B53qh8UGDnPcdJATcDl
spotify,https://open.spotify.com/artist/20sxb77xiYeusSH8cVdatc,https://api.spotify.com/v1/artists/20sxb77xiYeusSH8cVdatc,20sxb77xiYeusSH8cVdatc,Meek Mill,artist,spotify:artist:20sxb77xiYeusSH8cVdatc,https://open.spotify.com/track/0hy1SOTEn9ifXTzOwnCwEr
spotify,https://open.spotify.com/artist/0hCNtLu0JehylgoiP8L4Gh,https://api.spotify.com/v1/artists/0hCNtLu0JehylgoiP8L4Gh,0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,artist,spotify:artist:0hCNtLu0JehylgoiP8L4Gh,https://open.spotify.com/track/0hy1SOTEn9ifXTzOwnCwEr
spotify,https://open.spotify.com/artist/1vyhD5VmyZ7KMfW5gqLgo5,https://api.spotify.com/v1/artists/1vyhD5VmyZ7KMfW5gqLgo5,1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,artist,spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5,https://open.spotify.com/track/7a6GeFdPlbQtd7BwVlZ52k
spotify,https://open.spotify.com/artist/6VD4UEUPvtsemqD3mmTqCR,https://api.spotify.com/v1/artists/6VD4UEUPvtsemqD3mmTqCR,6VD4UEUPvtsemqD3mmTqCR,Deorro,artist,spotify:artist:6VD4UEUPvtsemqD3mmTqCR,https://open.spotify.com/track/6YwLgicpvVuMt1eE2OldwQ
spotify,https://open.spotify.com/artist/7bXgB6jMjp9ATFy66eO08Z,https://api.spotify.com/v1/artists/7bXgB6jMjp9ATFy66eO08Z,7bXgB6jMjp9ATFy66eO08Z,Chris Brown,artist,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,https://open.spotify.com/track/6YwLgicpvVuMt1eE2OldwQ
