,code,date,url
118,mx,2015-12-28,https://spotifycharts.com/regional/mx/daily/2015-12-28/download
119,mx,2015-12-29,https://spotifycharts.com/regional/mx/daily/2015-12-29/download
120,mx,2015-12-30,https://spotifycharts.com/regional/mx/daily/2015-12-30/download
121,mx,2015-12-31,https://spotifycharts.com/regional/mx/daily/2015-12-31/download
122,mx,2016-01-01,https://spotifycharts.com/regional/mx/daily/2016-01-01/download
123,mx,2016-01-02,https://spotifycharts.com/regional/mx/daily/2016-01-02/download
124,mx,2016-01-03,https://spotifycharts.com/regional/mx/daily/2016-01-03/download
125,mx,2016-01-04,https://spotifycharts.com/regional/mx/daily/2016-01-04/download
126,mx,2016-01-05,https://spotifycharts.com/regional/mx/daily/2016-01-05/download
127,mx,2016-01-06,https://spotifycharts.com/regional/mx/daily/2016-01-06/download
128,mx,2016-01-07,https://spotifycharts.com/regional/mx/daily/2016-01-07/download
129,mx,2016-01-08,https://spotifycharts.com/regional/mx/daily/2016-01-08/download
130,mx,2016-01-09,https://spotifycharts.com/regional/mx/daily/2016-01-09/download
131,mx,2016-01-10,https://spotifycharts.com/regional/mx/daily/2016-01-10/download
132,mx,2016-01-11,https://spotifycharts.com/regional/mx/daily/2016-01-11/download
133,mx,2016-01-12,https://spotifycharts.com/regional/mx/daily/2016-01-12/download
134,mx,2016-01-13,https://spotifycharts.com/regional/mx/daily/2016-01-13/download
135,mx,2016-01-14,https://spotifycharts.com/regional/mx/daily/2016-01-14/download
136,mx,2016-01-15,https://spotifycharts.com/regional/mx/daily/2016-01-15/download
137,mx,2016-01-16,https://spotifycharts.com/regional/mx/daily/2016-01-16/download
138,mx,2016-01-17,https://spotifycharts.com/regional/mx/daily/2016-01-17/download
139,mx,2016-01-18,https://spotifycharts.com/regional/mx/daily/2016-01-18/download
140,mx,2016-01-19,https://spotifycharts.com/regional/mx/daily/2016-01-19/download
141,mx,2016-01-20,https://spotifycharts.com/regional/mx/daily/2016-01-20/download
142,mx,2016-01-21,https://spotifycharts.com/regional/mx/daily/2016-01-21/download
143,mx,2016-01-22,https://spotifycharts.com/regional/mx/daily/2016-01-22/download
144,mx,2016-01-23,https://spotifycharts.com/regional/mx/daily/2016-01-23/download
145,mx,2016-01-24,https://spotifycharts.com/regional/mx/daily/2016-01-24/download
146,mx,2016-01-25,https://spotifycharts.com/regional/mx/daily/2016-01-25/download
147,mx,2016-01-26,https://spotifycharts.com/regional/mx/daily/2016-01-26/download
148,mx,2016-01-27,https://spotifycharts.com/regional/mx/daily/2016-01-27/download
149,mx,2016-01-28,https://spotifycharts.com/regional/mx/daily/2016-01-28/download
150,mx,2016-01-29,https://spotifycharts.com/regional/mx/daily/2016-01-29/download
151,mx,2016-01-30,https://spotifycharts.com/regional/mx/daily/2016-01-30/download
152,mx,2016-01-31,https://spotifycharts.com/regional/mx/daily/2016-01-31/download
153,mx,2016-02-01,https://spotifycharts.com/regional/mx/daily/2016-02-01/download
154,mx,2016-02-02,https://spotifycharts.com/regional/mx/daily/2016-02-02/download
155,mx,2016-02-03,https://spotifycharts.com/regional/mx/daily/2016-02-03/download
156,mx,2016-02-04,https://spotifycharts.com/regional/mx/daily/2016-02-04/download
157,mx,2016-02-05,https://spotifycharts.com/regional/mx/daily/2016-02-05/download
158,mx,2016-02-06,https://spotifycharts.com/regional/mx/daily/2016-02-06/download
159,mx,2016-02-07,https://spotifycharts.com/regional/mx/daily/2016-02-07/download
